STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,THSMON_SELNG_AMT,THSMON_SELNG_CO,MDWK_SELNG_AMT,WKEND_SELNG_AMT,MON_SELNG_AMT,TUES_SELNG_AMT,WED_SELNG_AMT,THUR_SELNG_AMT,FRI_SELNG_AMT,SAT_SELNG_AMT,SUN_SELNG_AMT,TMZON_00_06_SELNG_AMT,TMZON_06_11_SELNG_AMT,TMZON_11_14_SELNG_AMT,TMZON_14_17_SELNG_AMT,TMZON_17_21_SELNG_AMT,TMZON_21_24_SELNG_AMT,ML_SELNG_AMT,FML_SELNG_AMT,AGRDE_10_SELNG_AMT,AGRDE_20_SELNG_AMT,AGRDE_30_SELNG_AMT,AGRDE_40_SELNG_AMT,AGRDE_50_SELNG_AMT,AGRDE_60_ABOVE_SELNG_AMT,MDWK_SELNG_CO,WKEND_SELNG_CO,MON_SELNG_CO,TUES_SELNG_CO,WED_SELNG_CO,THUR_SELNG_CO,FRI_SELNG_CO,SAT_SELNG_CO,SUN_SELNG_CO,TMZON_00_06_SELNG_CO,TMZON_06_11_SELNG_CO,TMZON_11_14_SELNG_CO,TMZON_14_17_SELNG_CO,TMZON_17_21_SELNG_CO,TMZON_21_24_SELNG_CO,ML_SELNG_CO,FML_SELNG_CO,AGRDE_10_SELNG_CO,AGRDE_20_SELNG_CO,AGRDE_30_SELNG_CO,AGRDE_40_SELNG_CO,AGRDE_50_SELNG_CO,AGRDE_60_ABOVE_SELNG_CO
20251,D,발달상권,3120049,왕십리역(왕십리),CS200024,스포츠클럽,168021174.0,170.0,167339618.0,681556.0,3230576.0,4444444.0,36733796.0,68155649.0,54775153.0,681556.0,0.0,0.0,35622685.0,0.0,3753452.0,127533926.0,1111111.0,9803922.0,158217252.0,0.0,88007498.0,75242434.0,3594771.0,0.0,1176471.0,149.0,21.0,32.0,13.0,27.0,21.0,56.0,21.0,0.0,0.0,20.0,0.0,27.0,116.0,7.0,33.0,137.0,0.0,88.0,54.0,21.0,0.0,7.0
20251,A,골목상권,3110128,성원중학교,CS300017,시계및귀금속,35463148.0,82.0,28800995.0,6662153.0,176000.0,5763005.0,155450.0,11000000.0,11706540.0,6662153.0,0.0,0.0,5763005.0,13376168.0,16323975.0,0.0,0.0,9661822.0,25801326.0,0.0,0.0,2552168.0,9464789.0,6662153.0,16784038.0,76.0,6.0,22.0,11.0,6.0,10.0,27.0,6.0,0.0,0.0,11.0,22.0,49.0,0.0,0.0,43.0,39.0,0.0,0.0,34.0,10.0,6.0,32.0
20251,A,골목상권,3110110,상왕십리역 6번,CS300014,신발,25758632.0,150.0,19564549.0,6194083.0,1971302.0,4609493.0,1742296.0,6814835.0,4426623.0,2170110.0,4023973.0,0.0,0.0,4669890.0,15880310.0,5208432.0,0.0,4064238.0,20037661.0,0.0,1067020.0,503311.0,1950331.0,4587682.0,15993555.0,104.0,46.0,12.0,25.0,8.0,39.0,20.0,12.0,34.0,0.0,0.0,29.0,83.0,38.0,0.0,25.0,118.0,0.0,8.0,4.0,12.0,25.0,93.0
20251,A,골목상권,3110128,성원중학교,CS300016,안경,120713464.0,1149.0,91556319.0,29157145.0,18257923.0,19670525.0,20335952.0,14503177.0,18788742.0,12458203.0,16698942.0,0.0,8354973.0,39293063.0,26765361.0,46158913.0,141154.0,67222522.0,51611018.0,867657.0,17746680.0,14258480.0,29453842.0,26759524.0,29747356.0,890.0,259.0,213.0,184.0,171.0,147.0,175.0,123.0,136.0,0.0,92.0,330.0,317.0,404.0,6.0,533.0,602.0,14.0,160.0,197.0,247.0,271.0,245.0
20251,A,골목상권,3110118,왕십리역 9번,CS300029,애완동물,5045263.0,298.0,3188415.0,1856848.0,824163.0,729830.0,603227.0,423003.0,608192.0,988001.0,868847.0,0.0,669260.0,2040546.0,1341995.0,993462.0,0.0,1238725.0,3806538.0,9930.0,975092.0,1094745.0,262143.0,1829541.0,873812.0,198.0,100.0,54.0,54.0,30.0,30.0,30.0,55.0,45.0,0.0,35.0,98.0,80.0,85.0,0.0,75.0,223.0,5.0,83.0,65.0,20.0,80.0,45.0
20251,A,골목상권,3110128,성원중학교,CS100004,양식음식점,64765864.0,181.0,48680648.0,16085216.0,0.0,10350084.0,13082556.0,9513816.0,15734192.0,16085216.0,0.0,0.0,0.0,0.0,0.0,23978122.0,40787742.0,38712562.0,15068275.0,0.0,9900977.0,31757462.0,4377491.0,4534059.0,3210849.0,139.0,42.0,0.0,30.0,48.0,20.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,67.0,114.0,113.0,36.0,0.0,30.0,89.0,5.0,15.0,10.0
20251,A,골목상권,3110105,금동어린이공원,CS200034,여관,8825160.0,219.0,5893058.0,2932102.0,509780.0,1708681.0,2068019.0,942320.0,664258.0,1372517.0,1559585.0,1421203.0,0.0,1810786.0,1089075.0,2255388.0,2248708.0,7766981.0,1058179.0,0.0,1959885.0,1071284.0,834184.0,733773.0,4226034.0,144.0,75.0,16.0,45.0,45.0,23.0,15.0,45.0,30.0,37.0,0.0,52.0,24.0,54.0,52.0,195.0,24.0,0.0,45.0,38.0,23.0,16.0,97.0
20251,A,골목상권,3110102,옥수역 6번,CS200003,예술학원,79332985.0,442.0,69857175.0,9475810.0,3876468.0,25762357.0,26166156.0,9906528.0,4145666.0,9475810.0,0.0,0.0,9691168.0,20082256.0,26435355.0,16905706.0,6218500.0,22828086.0,56504899.0,0.0,0.0,6030060.0,55858821.0,17444104.0,0.0,377.0,65.0,22.0,139.0,139.0,44.0,33.0,65.0,0.0,0.0,65.0,118.0,151.0,75.0,33.0,118.0,324.0,0.0,0.0,44.0,312.0,86.0,0.0
20251,R,전통시장,3130070,뚝섬역상점가,CS200002,외국어학원,254305403.0,619.0,254305403.0,0.0,78999487.0,24601321.0,43009302.0,49546716.0,58148577.0,0.0,0.0,0.0,0.0,0.0,48514493.0,205790910.0,0.0,142137142.0,112168261.0,0.0,0.0,9634084.0,227949303.0,16722016.0,0.0,619.0,0.0,206.0,69.0,120.0,86.0,138.0,0.0,0.0,0.0,0.0,0.0,103.0,516.0,0.0,344.0,275.0,0.0,0.0,17.0,534.0,68.0,0.0
20251,A,골목상권,3110127,성수1가1동주민센터,CS300024,운동/경기용품,59303184.0,701.0,23336315.0,35966869.0,8190892.0,6954531.0,8190892.0,0.0,0.0,35966869.0,0.0,0.0,0.0,1404956.0,50943697.0,6954531.0,0.0,51112292.0,8190892.0,0.0,1404956.0,42752805.0,6954531.0,8190892.0,0.0,421.0,280.0,141.0,140.0,140.0,0.0,0.0,280.0,0.0,0.0,0.0,140.0,421.0,140.0,0.0,561.0,140.0,0.0,140.0,281.0,140.0,140.0,0.0
